dbLetter,name_en,中文译名,category,分类,sincePhase,costUnits,兜底造价$(costUnits×3450),buildDuration_s,buildDuration_h,salaryModifier,满级工资$/tick(345×mod×size=1),tiers(等级贴图),建造材料:钢筋混凝土101,砖102,木板108,建造单位111,机器人/级 J9,可生产资源数,可零售资源
P,farm,农场,production,生产,0,2,6900,3600,1.0,0.3,103.5,"1,2,3,6,10,15",8,110,32,2,1,12,
W,water_reservoir,蓄水池,production,生产,0,6,20700,7200,2.0,1,345,"1,2,3,6,10,15",24,330,96,6,15,1,
E,power_plant,发电厂,production,生产,0,15,51750,10800,3.0,1.2,414.0,"1,2,3,6,10,15",60,825,240,15,20,1,
O,oil_rig,石油钻井,production,生产,1,20,69000,14400,4.0,1.5,517.5,"1,2,3,6,10,15",80,1100,320,20,26,2,
R,refinery,炼油厂,production,生产,1,20,69000,14400,4.0,1.4,483.0,"1,2,3,6,10,15",80,1100,320,20,24,5,
S,shipping_depot,装运站,production,生产,2,15,51750,10800,3.0,0.9,310.5,"1,2,3,6",60,825,240,15,13,1,
G,grocery_store,食品店,sales,销售,0,3,10350,3600,1.0,0.4,138.0,"1,2,3,6,10,15",12,165,48,3,3,0,"3,4,5,7,8,9,119,123,124,125,126,122,127,140,152"
C,electronics_store,电子产品店,sales,销售,3,5,17250,3600,1.0,0.5,172.5,"1,2,3,6,10,15",20,275,80,5,5,0,"24,25,26,27,28,98"
A,gas_station,加油站,sales,销售,2,7,24150,7200,2.0,1,345,"1,2,3,6,10,15",28,385,112,7,15,0,"11,12"
F,ranch,牧场,production,生产,0,3,10350,7200,2.0,0.4,138.0,"1,2,3,6,10,15",12,165,48,3,3,5,
M,mine,矿场,production,生产,3,7,24150,14400,4.0,0.8,276.0,"1,2,3,6,10,15",28,385,112,7,11,4,
Y,factory,工厂,production,生产,3,14,48300,10800,3.0,1.2,414.0,"1,2,3,6,10,15",56,770,224,14,20,9,
L,electronics_factory,电子厂,production,生产,3,24,82800,18000,5.0,1.1,379.5,"1,2,3,6,10,15",96,1320,384,24,17,13,
T,clothes_factory,服装厂,production,生产,1,4,13800,7200,2.0,0.4,138.0,,16,220,64,4,3,10,
H,fashion_store,时装店,sales,销售,1,5,17250,10800,3.0,0.9,310.5,,20,275,80,5,13,0,"60,61,62,63,64,65,70,71"
p,plant_research,植物研究中心,research,研究,1,30,103500,18000,5.0,1.3,448.5,,120,1650,480,30,22,1,
h,physics_lab,物理实验室,research,研究,1,48,165600,25200,7.0,1.7,586.5,,192,2640,768,48,30,3,
b,breeding_research,育种研究,research,研究,1,28,96600,18000,5.0,1.2,414.0,,112,1540,448,28,20,1,
c,chemistry_research,化学研究,research,研究,1,28,96600,18000,5.0,1.2,414.0,,112,1540,448,28,20,2,
s,software_research,软件研究,research,研究,3,19,65550,10800,3.0,1.7,586.5,,76,1045,304,19,30,1,
a,race_track,赛道,research,研究,6,40,138000,21600,6.0,1.6,552.0,,160,2200,640,40,28,1,
f,fashion_research,时尚研究,research,研究,1,21,72450,7200,2.0,1.3,448.5,,84,1155,336,21,22,1,
l,launchpad,发射台,research,研究,7,36,124200,32400,9.0,1.5,517.5,,144,1980,576,36,26,1,
q,kitchen,厨房,research,研究,1,24,82800,14400,4.0,1.5,517.5,,96,1320,384,24,26,1,
D,propulsion_factory,推进器工厂,production,生产,6,30,103500,25200,7.0,1.8,621.0,"1,2,3,6,10,15",120,1650,480,30,32,6,
B,sales_offices,销售办公室,sales,销售,7,18,62100,7200,2.0,1.7,586.5,"1,2,3,6,10,15",72,990,288,18,30,0,"91,94,95,96,97,99"
Q,quarry,采石场,production,生产,2,7,24150,10800,3.0,0.8,276.0,"1,2,3,6,10,15",28,385,112,7,11,3,
o,concrete_plant,混凝土厂,production,生产,2,17,58650,18000,5.0,1.1,379.5,"1,2,3,6,10,15",68,935,272,17,17,3,
x,construction_factory,建材厂,production,生产,3,21,72450,21600,6.0,1.4,483.0,"1,2,3,6,10,15",84,1155,336,21,24,4,
g,general_contractor,总承包商,production,生产,4,14,48300,7200,2.0,1,345,"1,2,3,6,10,15",56,770,224,14,15,1,
d,hardware_store,五金店,sales,销售,0,4,13800,14400,4.0,0.5,172.5,"1,2,3,6,10,15",16,220,64,4,5,0,"102,103,108,109,110"
n,bank,银行,other,其他,5,40,138000,28800,8.0,0,0,,160,2200,640,40,1,0,
e,slaughterhouse,屠宰场,production,生产,0,6,20700,14400,4.0,1.2,414.0,"1,2,3,6,10,15",24,330,96,6,20,2,
i,mill,磨坊,production,生产,0,8,27600,10800,3.0,1.1,379.5,"1,2,3,6,10,15",32,440,128,8,17,3,
j,bakery,面包房,production,生产,8,11,37950,18000,5.0,1.3,448.5,"1,2,3,6,10,15",44,605,176,11,22,3,
k,food_processing_plant,食品加工厂,production,生产,2,25,86250,21600,6.0,1.1,379.5,"1,2,3,6,10,15",100,1375,400,25,17,12,
m,catering,餐饮厂,production,生产,8,30,103500,14400,4.0,1.9,655.5,"1,2,3,6,10,15",120,1650,480,30,34,8,
r,restaurant,餐馆,sales,销售,8,26,89700,10800,3.0,1.7,586.5,,104,1430,416,26,30,0,"117,121,134,122,119,123,129,130,131,142,143,132,124,125,126,149"
t,autumn_market,秋季市集,seasonal,季节,1,4,13800,7200,2.0,0.6,207.0,,16,220,64,4,7,0,"146,147,148"
u,xmas_market,圣诞市集,seasonal,季节,1,5,17250,7200,2.0,0.7,241.5,,20,275,80,5,9,0,"67,144,150"
v,forest_nursery,苗圃,production,生产,1,5,17250,7200,2.0,0.23,79.35,"1,2,3,6",20,275,80,5,1,1,
y,academy,学院,other,其他,5,19,65550,28800,8.0,0,0,"1,5,10,15,20",76,1045,304,19,1,0,
z,beach_market,海滩市集,seasonal,季节,8,3,10350,7200,2.0,0.7,241.5,,12,165,48,3,9,0,"153,154"
I,spring_market,春季市集,seasonal,季节,3,2,6900,3600,1.0,0.7,241.5,"1,2,3",8,110,32,2,9,0,"151,155"
0,hangar,机库,production,生产,7,29,100050,10800,3.0,2.2,759.0,"1,2,3,6,10,15",116,1595,464,29,40,3,
1,car_factory,汽车厂,production,生产,6,27,93150,21600,6.0,1.3,448.5,,108,1485,432,27,22,9,
2,car_dealership,汽车经销店,sales,销售,6,6,20700,10800,3.0,1.1,379.5,,24,330,96,6,17,0,"53,54,55,56,57"
3,castle,城堡,recreation,休闲,5,40,138000,43200,12.0,0,0,,160,2200,640,40,1,0,
4,park,公园,recreation,休闲,5,40,138000,43200,12.0,0,0,"1,2,3",160,2200,640,40,1,0,
5,lake,湖泊,recreation,休闲,5,40,138000,43200,12.0,0,0,"1,2,3",160,2200,640,40,1,0,
6,beverage_factory,饮料厂,production,生产,2,4,13800,7200,2.0,0.7,241.5,"1,2,3,6",16,220,64,4,9,4,
7,aerospace_factory,航天工厂,production,生产,7,31,106950,21600,6.0,1.7,586.5,"1,2,3,6,10,15",124,1705,496,31,30,7,
8,aerospace_electronics,航天电子厂,production,生产,7,41,141450,21600,6.0,2.1,724.5,"1,2,3,6,10,15",164,2255,656,41,38,5,
9,vertical_integration_facility,垂直整合设施,production,生产,7,33,113850,10800,3.0,2.2,759.0,"1,2,3,6,10,15",132,1815,528,33,40,2,
