id,name_en,中文译名,sincePhase,producedAt,建筑名,producedPerHourRaw,producedFrom,transportation,unitsSoldAnHour,consumption,isExchangeTradable,isResearch,hasEconomyModel,decay,productionSeason,retailSeason,productionMechanic,econ1_buildingLevelsNeededPerUnitPerHour,econ1_modeledProductionCostPerUnit,econ1_modeledStoreWages,econ1_modeledUnitsSoldAnHour
1,Power,电力,0,E,power_plant,6000,{},0,0,0,True,False,False,0,,,{},0.0003895681864071938,0.1612812291725782,,0
2,Water,水,0,W,water_reservoir,3300,"{""1"": 0.2}",0,0,0,True,False,False,0,,,{},0.0006927577303864013,0.24437745795572777,,0
3,Apples,苹果,0,P,farm,250,"{""2"": 3, ""66"": 1}",1,110,12.4612,True,False,True,0,,,{},0.008217493995122272,1.3858094303634345,151.8,110
4,Oranges,橙子,0,P,farm,230,"{""2"": 3, ""66"": 1}",1,90,11.8415,True,False,True,0,,,{},0.008647570615670862,1.4303223605902136,151.8,90
5,Grapes,葡萄,0,P,farm,200,"{""2"": 4, ""66"": 1}",1,80,10.0919,True,False,True,0,,,{},0.010146722009585872,1.7581615627211524,151.8,80
6,Grain,谷物,0,P,farm,1000,"{""2"": 0.5, ""66"": 1}",0.1,0,0,True,False,False,0,,,{},0.002776188816924674,0.3909417622681449,,0
7,Steak,牛排,0,e,slaughterhouse,60,"{""115"": 0.125}",1,35,1.0371,True,False,True,0,,,{},0.09873545210512771,26.107063782608222,151.8,35
8,Sausages,香肠,0,e,slaughterhouse,180,"{""116"": 0.0625}",0.1,110,4.4344,True,False,True,0,,,{},0.02309206140870684,7.046581956294532,151.8,110
9,Eggs,鸡蛋,0,F,ranch,420,"{""2"": 0.4, ""6"": 0.5}",0.1,340,21.2227,True,False,True,0,,,{},0.004825017092868805,0.7292769680471267,151.8,340
10,Crude Oil,原油,1,O,oil_rig,120,"{""1"": 25}",1,0,0,True,False,False,0,,,{},0.035091282876724146,17.151731206376134,,0
11,Petrol,汽油,2,R,refinery,300,"{""1"": 15, ""10"": 0.75, ""73"": 0.25}",1,103,19.4493,True,False,True,0,,,{},0.05923092127223874,24.00011652274248,379.5,103
12,Diesel,柴油,2,R,refinery,310,"{""1"": 15, ""10"": 0.75, ""73"": 0.25}",1,105,19.5448,True,False,True,0,,,{},0.05894138193606232,23.86026902336927,379.5,105
13,Transport,—,0,S,shipping_depot,6000,"{""1"": 0.01, ""12"": 0.005}",0,0,0,True,False,False,0,,,{},0.0006136673297947944,0.21874175863532477,,0
14,Minerals,矿物,3,M,mine,210,"{""1"": 20, ""2"": 1}",1,0,0,True,False,False,0,,,{},0.01750234326356938,5.959031259598084,,0
15,Bauxite,铝土矿,3,M,mine,170,"{""1"": 14, ""2"": 0.5}",1,0,0,True,False,False,0,,,{},0.01694048982229516,5.4548090892767025,,0
16,Silicon,硅,3,Y,factory,360,"{""1"": 3, ""44"": 2}",1,0,0,True,False,False,0,,,{},0.01073484167488349,4.235145999073738,,0
17,Chemicals,化学品,3,Y,factory,500,"{""1"": 0.2, ""14"": 1}",1,0,0,True,False,False,0,,,{},0.02225507513773714,7.926662255503538,,0
18,Aluminium,铝,3,Y,factory,280,"{""1"": 15, ""15"": 1}",1,0,0,True,False,False,0,,,{},0.031131902327128647,11.330053866277764,,0
19,Plastic,塑料,1,R,refinery,550,"{""1"": 5, ""10"": 0.2}",1,0,0,True,False,False,0,,,{},0.013861944464545807,6.601446467448817,,0
20,Processors,处理器,3,L,electronics_factory,20,"{""16"": 4, ""17"": 1}",1,0,0,True,False,False,0,,,{},0.17408164523862016,66.18993994261048,,0
21,Electronic Components,电子元件,3,L,electronics_factory,90,"{""16"": 3, ""17"": 1}",1,0,0,True,False,False,0,,,{},0.07865675647379852,29.814921072905186,,0
22,Batteries,电池,3,L,electronics_factory,55,"{""17"": 4}",1,0,0,True,False,False,0,,,{},0.12861564724234822,46.73308309140033,,0
23,Displays,显示屏,3,L,electronics_factory,70,"{""16"": 5, ""17"": 4}",1,0,0,True,False,False,0,,,{},0.1738051384686086,64.6888629290434,,0
24,Smart Phones,智能手机,3,L,electronics_factory,25,"{""18"": 2, ""20"": 2, ""21"": 1, ""22"": 1, ""23"": 1}",2,2,0.6146,True,False,True,0,,,{},0.8786144000373325,329.33500966377494,189.75,2
25,Tablets,平板电脑,3,L,electronics_factory,25,"{""18"": 3, ""20"": 2, ""21"": 1, ""22"": 1, ""23"": 2}",2,0.8,0.4984,True,False,True,0,,,{},1.0835514408330698,405.3539264590962,189.75,0.8
26,Laptops,笔记本电脑,3,L,electronics_factory,20,"{""19"": 3, ""20"": 4, ""21"": 3, ""22"": 2, ""23"": 2}",2,1.2,0.32,True,False,True,0,,,{},1.6876114585927768,638.1754481232036,189.75,1.2
27,Monitors,显示器,3,L,electronics_factory,40,"{""19"": 3, ""21"": 2, ""23"": 3}",2,2,0.697,True,False,True,0,,,{},0.774758363447735,294.1621171806931,189.75,2
28,Televisions,电视机,3,L,electronics_factory,35,"{""19"": 5, ""20"": 1, ""21"": 4, ""23"": 4}",2,1.8,0.4105,True,False,True,0,,,{},1.3154602064174634,500.8252761109699,189.75,1.8
29,Plant Research,植物研究,1,p,plant_research,12,{},0,0,0,True,True,False,0,,,{},0.20906502387778717,93.76566320918754,,0
30,Energy Research,能源研究,1,h,physics_lab,11,{},0,0,0,True,True,False,0,,,{},0.30267846389621533,177.52091907513025,,0
31,Mining Research,采矿研究,1,h,physics_lab,10,{},0,0,0,True,True,False,0,,,{},0.33294631028583677,195.27301098264326,,0
32,Electronics Research,电子研究,3,h,physics_lab,8,{},0,0,0,True,True,False,0,,,{},0.416182887857296,244.0912637283041,,0
33,Breeding Research,育种研究,1,b,breeding_research,9,{},0,0,0,True,True,False,0,,,{},0.2597121242714625,107.52081944838548,,0
34,Chemistry Research,化学研究,1,c,chemistry_research,11,{},0,0,0,True,True,False,0,,,{},0.21249173804028748,87.97157954867903,,0
35,Software,软件研究,3,s,software_research,19,{},0,0,0,True,True,False,0,,,{},0.17523490015044044,102.77526893823331,,0
40,Cotton,棉花,1,P,farm,320,"{""2"": 1, ""66"": 1}",0.5,0,0,True,False,False,0,,,{},0.005750067035781922,0.7850766743502376,,0
41,Fabric,布料,1,T,clothes_factory,320,"{""1"": 1, ""40"": 2}",0.5,0,0,True,False,False,0,,,{},0.016036965472801666,2.3037569015196806,,0
42,Iron Ore,铁矿石,3,M,mine,320,"{""1"": 7, ""2"": 0.5}",1,0,0,True,False,False,0,,,{},0.008991564229600466,2.8845827576236185,,0
43,Steel,钢,3,Y,factory,450,"{""1"": 5, ""17"": 0.1, ""42"": 1}",1,0,0,True,False,False,0,,,{},0.018359155160839396,6.634071518004573,,0
44,Sand,沙子,3,Q,quarry,2500,"{""1"": 2}",1,0,0,True,False,False,0,,,{},0.0015366670044376723,0.5316409126731829,,0
45,Glass,玻璃,4,Y,factory,300,"{""1"": 2, ""16"": 1}",1,0,0,True,False,False,0,,,{},0.019305341775841752,7.783333040870458,,0
46,Leather,皮革,1,F,ranch,40,"{""115"": 0.125}",1,0,0,True,False,False,0,,,{},0.09295673918305337,14.557519454523423,,0
47,On Board Computer,车载电脑,6,L,electronics_factory,30,"{""20"": 2, ""21"": 3}",1,0,0,True,False,False,0,,,{},0.6567250288328685,249.37310556447778,,0
